"","year","Country.Code","Country.Name","Region","IncomeGroup","NY.GNP.PCAP.CD","SH.STA.BRTC.ZS","SH.MED.BEDS.ZS","SH.STA.ACSN","SH.STA.ACSN.RU","SH.STA.ACSN.UR","SH.MED.NUMW.P3","SH.MED.PHYS.ZS","SH.HIV.TOTL","SH.HIV.INCD.TL","SH.DYN.AIDS","SH.HIV.INCD","SH.DYN.AIDS.DH","SH.HIV.0014","SH.HIV.INCD.14","SH.HIV.ORPH","SH.HIV.INCD.ZS","SH.HIV.1524.FE.ZS","SH.HIV.1524.MA.ZS","SH.DYN.AIDS.ZS","SH.DYN.AIDS.FE.ZS","SP.ADO.TFRT","SH.DTH.IMRT","SH.MMR.DTHS","SH.DTH.NMRT","SH.XPD.EXTR.ZS","SH.XPD.PCAP","SH.XPD.PCAP.PP.KD","SH.XPD.PRIV.ZS","SH.XPD.PRIV","SH.XPD.PUBL.ZS","SH.XPD.PUBL.GX.ZS","SH.XPD.PUBL","SH.XPD.TOTL.ZS","SH.XPD.TOTL.CD","SH.XPD.OOPC.ZS","SH.XPD.OOPC.TO.ZS","SH.HIV.ARTC.ZS","SH.HIV.PMTC.ZS","SE.XPD.TOTL.GD.ZS","SE.PRM.ENRR","SE.SEC.ENRR","SE.TER.ENRR"
"1",1990,"AFG","Afghanistan","South Asia","Low income",NA,NA,0.2497999966,20.5,19.2,26.2,NA,0.1092000008,500,100,500,100,100,100,100,100,0.01,0.1,0.1,0.1,23.0985915492958,162.738,68718,8400,29658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9370698928833,30.0911502838135,11.2228298187256,2.27316999435425
"2",1991,"AFG","Afghanistan","South Asia","Low income",NA,NA,NA,20.5,19.2,26.2,NA,NA,500,200,500,200,100,100,100,100,0.01,0.1,0.1,0.1,23.6051502145923,163.327,69482,8700,30537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76718497276307,28.6841506958008,16.3062992095947,1.38329499959946
"3",1992,"AFG","Afghanistan","South Asia","Low income",NA,NA,NA,20.5,19.2,26.2,NA,NA,1000,200,1000,200,100,100,100,100,0.01,0.1,0.1,0.1,24,163.916,72376,9100,32270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52239000797272,26.9358614361119,10.2058000564575,1.14053499698639
"4",1993,"AFG","Afghanistan","South Asia","Low income",NA,NA,NA,20.5,19.2,26.2,NA,0.1428000033,1000,200,1000,200,100,100,100,200,0.01,0.1,0.1,0.1,24.468085106383,164.1812,76190,9500,34361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11431002616883,31.1537303924561,16.5285701751709,1.18912500143051
"5",1994,"AFG","Afghanistan","South Asia","Low income",NA,NA,NA,20.6,19.2,26.2,NA,NA,1000,200,1000,200,100,100,100,200,0.01,0.1,0.1,0.1,24.945295404814,164.4464,79446,9900,36312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45110011100769,43.1292686462402,23.1541004180908,1.37637996673584
"6",1995,"AFG","Afghanistan","South Asia","Low income",NA,NA,NA,20.6,19.2,26.2,NA,NA,1100,500,1100,500,100,100,100,500,0.01,0.1,0.1,0.1,25.3507951356408,164.7116,81513,10000,37519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43050003051758,46.2432289123535,22.5660190582275,1.26294004917145
"7",1996,"AFG","Afghanistan","South Asia","Low income",NA,NA,NA,21.1,19.6,27.2,NA,NA,1300,500,1200,500,100,100,100,500,0.01,0.1,0.1,0.1,25.8326563769293,164.9768,84495,10000,39190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58062994480134,44.9452062249547,13.255220413208,1.05427002906799
"8",1997,"AFG","Afghanistan","South Asia","Low income",NA,NA,NA,21.7,20,28.2,NA,0.11,1400,500,1400,500,100,100,100,500,0.01,0.1,0.1,0.1,26.2778977681785,165.242,86193,10000,40349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40747907956326,41.1707742728691,12.1909399032593,1.45636999607086
"9",1998,"AFG","Afghanistan","South Asia","Low income",NA,NA,NA,22.2,20.4,29.2,NA,NA,1600,500,1500,500,100,100,100,1000,0.01,0.1,0.1,0.1,26.6401590457256,161.4432,87162,11000,40746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.698734998703,33.3125495910645,11.8359650791352,1.19439005851746
"10",1999,"AFG","Afghanistan","South Asia","Low income",NA,NA,NA,22.8,20.9,30.2,NA,NA,1700,500,1600,500,100,100,100,1000,0.01,0.1,0.1,0.1,26.9417475728155,157.6444,88136,11000,41471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14125990867615,27.0407199859619,15.1323099136353,1.20928461986351
