"","year","Country.Code","Country.Name","SH.XPD.EXTR.ZS","NY.GNP.PCAP.CD","SH.XPD.PCAP","SH.XPD.PCAP.PP.KD","SH.XPD.PRIV.ZS","SH.XPD.PRIV","SH.XPD.PUBL.ZS","SH.XPD.PUBL.GX.ZS","SH.XPD.PUBL","SH.XPD.TOTL.ZS","SH.XPD.TOTL.CD","SH.XPD.OOPC.ZS","SH.XPD.OOPC.TO.ZS","SE.XPD.TOTL.GD.ZS","SH.STA.BRTC.ZS","SH.MED.BEDS.ZS","SH.STA.ACSN","SH.STA.ACSN.RU","SH.STA.ACSN.UR","SH.MED.NUMW.P3","SH.MED.PHYS.ZS","SH.HIV.TOTL","SH.HIV.INCD.TL","SH.DYN.AIDS","SH.HIV.INCD","SH.DYN.AIDS.DH","SH.HIV.ARTC.ZS","SH.HIV.PMTC.ZS","SH.HIV.0014","SH.HIV.INCD.14","SH.HIV.ORPH","SH.HIV.INCD.ZS","SH.HIV.1524.FE.ZS","SH.HIV.1524.MA.ZS","SH.DYN.AIDS.ZS","SH.DYN.AIDS.FE.ZS","SE.PRM.ENRR","SE.SEC.ENRR","SE.TER.ENRR","SP.ADO.TFRT","SH.DTH.IMRT","SH.MMR.DTHS","SH.DTH.NMRT","Region","IncomeGroup"
"1",1990,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2497999966,NA,NA,NA,NA,0.1092000008,500,100,500,100,100,NA,NA,100,100,100,0.01,0.1,0.1,0.1,23.0985915492958,30.0911502838135,11.2228298187256,2.27316999435425,162.738,68718,8400,29658,"South Asia","Low income"
"2",1991,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,19.2,26.2,NA,NA,500,200,500,200,100,NA,NA,100,100,100,0.01,0.1,0.1,0.1,23.6051502145923,28.6841506958008,16.3062992095947,NA,163.327,69482,8700,30537,"South Asia","Low income"
"3",1992,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,19.2,26.2,NA,NA,1000,200,1000,200,100,NA,NA,100,100,100,0.01,0.1,0.1,0.1,24,NA,NA,NA,163.916,72376,9100,32270,"South Asia","Low income"
"4",1993,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,19.2,26.2,NA,0.1428000033,1000,200,1000,200,100,NA,NA,100,100,200,0.01,0.1,0.1,0.1,24.468085106383,31.1537303924561,16.5285701751709,NA,164.1812,76190,9500,34361,"South Asia","Low income"
"5",1994,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,19.2,26.2,NA,NA,1000,200,1000,200,100,NA,NA,100,100,200,0.01,0.1,0.1,0.1,24.945295404814,43.1292686462402,23.1541004180908,NA,164.4464,79446,9900,36312,"South Asia","Low income"
"6",1995,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,19.2,26.2,NA,NA,1100,500,1100,500,100,NA,NA,100,100,500,0.01,0.1,0.1,0.1,25.3507951356408,46.2432289123535,22.5660190582275,NA,164.7116,81513,10000,37519,"South Asia","Low income"
"7",1996,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,19.6,27.2,NA,NA,1300,500,1200,500,100,NA,NA,100,100,500,0.01,0.1,0.1,0.1,25.8326563769293,NA,NA,NA,164.9768,84495,10000,39190,"South Asia","Low income"
"8",1997,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,20,28.2,NA,0.11,1400,500,1400,500,100,NA,NA,100,100,500,0.01,0.1,0.1,0.1,26.2778977681785,NA,NA,NA,165.242,86193,10000,40349,"South Asia","Low income"
"9",1998,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,20.4,29.2,NA,NA,1600,500,1500,500,100,NA,NA,100,100,1000,0.01,0.1,0.1,0.1,26.6401590457256,33.3125495910645,NA,NA,161.4432,87162,11000,40746,"South Asia","Low income"
"10",1999,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,20.9,30.2,NA,NA,1700,500,1600,500,100,NA,NA,100,100,1000,0.01,0.1,0.1,0.1,26.9417475728155,27.0407199859619,NA,NA,157.6444,88136,11000,41471,"South Asia","Low income"
